city	latitude	longitude
Warszawa	52.2297	21.0122
Kraków	50.0647	19.9450
Łódź	51.7592	19.4550
Wrocław	51.1079	17.0385
Poznań	52.4064	16.9252
Gdańsk	54.3520	18.6466
Szczecin	53.4285	14.5528
Bydgoszcz	53.1235	18.0084
Lublin	51.2465	22.5684
Białystok	53.1325	23.1688
Katowice	50.2649	19.0238
Gdynia	54.5189	18.5305
Częstochowa	50.8118	19.1203
Radom	51.4027	21.1471
Sosnowiec	50.2863	19.1041
Toruń	53.0138	18.5984
Kielce	50.8661	20.6286
Gliwice	50.2945	18.6714
Zabrze	50.3249	18.7857
Olsztyn	53.7784	20.4801
Bielsko-Biała	49.8224	19.0469
Rzeszów	50.0412	21.9991
Ruda Śląska	50.2584	18.8560
Rybnik	50.0971	18.5418
Tychy	50.1372	18.9664
Dąbrowa Górnicza	50.3188	19.2503
Opole	50.6751	17.9213
Elbląg	54.1522	19.4088
Płock	52.5468	19.7064
Wałbrzych	50.7714	16.2843
Zielona Góra	51.9356	15.5062
Włocławek	52.6482	19.0678
Tarnów	50.0138	20.9860
Chorzów	50.3058	18.9742
Koszalin	54.1944	16.1722
Kalisz	51.7611	18.0910
Legnica	51.2070	16.1551
Grudziądz	53.4858	18.7533
Jaworzno	50.2052	19.2754
Słupsk	54.4641	17.0287
Jastrzębie-Zdrój	49.9500	18.5833
Nowy Sącz	49.6216	20.6971
Jelenia Góra	50.9042	15.7470
Konin	52.2230	18.2512
Piotrków Trybunalski	51.4055	19.7036
Lubin	51.4002	16.2003
Inowrocław	52.7982	18.2634
Mysłowice	50.2304	19.1664
Piła	53.1511	16.7378
Ostrołęka	53.0848	21.5756
Żulin	51.0768233	23.1752301
